"Número do Alimento","Categoria do alimento","Descrição dos alimentos","Umidade....","Energia..kcal.","Energia..kJ.","Proteína..g.","Lipídeos..g.","Colesterol..mg.","Carboidrato..g.","Fibra.Alimentar..g.","Cinzas..g.","Cálcio..mg.","Magnésio..mg.","Manganês..mg.","Fósforo..mg.","Ferro..mg.","Sódio..mg.","Potássio..mg.","Cobre..mg.","Zinco..mg.","Retinol..mcg.","RE..mcg.","RAE..mcg.","Tiamina..mg.","Riboflavina..mg.","Piridoxina..mg.","Niacina..mg.","Vitamina.C..mg."
360,"Carnes e derivados","Carne, bovina, flanco, sem gordura, cru",72.1,141,592,20,6.2,50,0,NA,1,3,18,1e-05,167,1.6,54,324,0.05,4.5,2,2,2,0.11,0.16,1e-05,3.28,NA
361,"Carnes e derivados","Carne, bovina, fraldinha, com gordura, cozida",49.7,338,1416,24.2,26,65,0,NA,0.7,3,14,1e-05,161,2,39,207,0.07,6.5,1e-05,1e-05,1e-05,1e-05,0.05,0.07,1.61,NA
362,"Carnes e derivados","Carne, bovina, fraldinha, com gordura, crua",65.4,221,924,17.6,16.1,54,0,NA,0.9,3,16,0,131,1.5,51,274,0.04,4.2,5,5,5,0.08,0.07,0.03,3.56,NA
363,"Carnes e derivados","Carne, bovina, lagarto, cozido",57.6,222,931,32.9,9.1,56,0,NA,0.9,4,13,1e-05,167,1.9,48,254,0.05,7,3,3,3,1e-05,1e-05,1e-05,2.55,NA
364,"Carnes e derivados","Carne, bovina, lagarto, cru",71,135,564,20.5,5.2,56,0,NA,1.1,3,20,1e-05,185,1.3,54,362,0.05,2.4,2,2,2,0.1,0.14,0.03,2.19,NA
365,"Carnes e derivados","Carne, bovina, língua, cozida",53.4,315,1318,21.4,24.8,105,0,NA,0.7,6,12,0.01,136,2.1,59,175,0.08,4.1,1e-05,1e-05,1e-05,1e-05,0.08,1e-05,1.83,NA
366,"Carnes e derivados","Carne, bovina, língua, crua",65,215,901,17.1,15.8,118,0,NA,0.8,5,15,0.02,164,1.7,73,251,0.09,2.9,1e-05,1e-05,1e-05,0.05,0.04,1e-05,1.18,NA
367,"Carnes e derivados","Carne, bovina, maminha, crua",70,153,639,20.9,7,51,0,NA,1,3,16,1e-05,181,1.1,37,274,0.03,3.5,3,3,3,0.12,0.08,0.03,4.27,NA
368,"Carnes e derivados","Carne, bovina, maminha, grelhada",65.3,153,641,30.7,2.4,88,0,NA,1.4,4,21,1e-05,237,2.4,58,386,0.08,5.6,1e-05,1e-05,1e-05,1e-05,0.04,0.13,1.46,NA
369,"Carnes e derivados","Carne, bovina, miolo de alcatra, sem gordura, cru",69.5,163,681,21.6,7.8,60,0,NA,1,3,20,0.01,165,2,43,299,0.06,3,4,4,4,0.12,0.07,1e-05,3.59,NA
370,"Carnes e derivados","Carne, bovina, miolo de alcatra, sem gordura, grelhado",52.4,241,1010,31.9,11.6,92,0,NA,1.2,5,26,0.02,279,3.2,52,385,0.11,4.8,1e-05,1e-05,1e-05,0.03,0.05,0.05,4.66,NA
371,"Carnes e derivados","Carne, bovina, músculo, sem gordura, cozido",62.8,194,811,31.2,6.7,56,0,NA,0.9,5,13,1e-05,176,2.4,62,253,0.08,6.4,2,2,2,1e-05,1e-05,1e-05,1.97,NA
372,"Carnes e derivados","Carne, bovina, músculo, sem gordura, cru",72.4,142,592,21.6,5.5,51,0,NA,1,4,17,1e-05,162,1.9,66,296,0.05,3.7,2,2,2,0.09,0.19,0.04,2.79,NA
373,"Carnes e derivados","Carne, bovina, paleta, com gordura, crua",70.6,159,664,21.4,7.5,58,0,NA,0.9,4,14,1e-05,158,1.8,65,250,0.08,3.7,1e-05,1e-05,1e-05,1e-05,0.04,NA,0.91,NA
374,"Carnes e derivados","Carne, bovina, paleta, sem gordura, cozida",62.9,194,810,29.7,7.4,56,0,NA,0.8,6,18,1e-05,197,2.2,58,250,0.1,6.8,1e-05,1e-05,1e-05,0.03,0.04,1e-05,2.16,NA
375,"Carnes e derivados","Carne, bovina, paleta, sem gordura, crua",72.1,141,590,21,5.7,42,0,NA,1,4,18,1e-05,163,1.9,66,319,0.05,3.3,3,3,3,0.13,0.21,1e-05,2.67,NA
376,"Carnes e derivados","Carne, bovina, patinho, sem gordura, cru",72.9,133,558,21.7,4.5,56,0,NA,1,3,20,0.01,170,1.8,49,318,0.05,4.5,2,2,2,0.11,0.08,1e-05,3.61,NA
377,"Carnes e derivados","Carne, bovina, patinho, sem gordura, grelhado",55.2,219,917,35.9,7.3,126,0,NA,1.3,5,27,0.02,289,3,60,421,0.12,8.1,1e-05,1e-05,1e-05,0.04,0.03,1e-05,3.01,NA
378,"Carnes e derivados","Carne, bovina, peito, sem gordura, cozido",51.2,338,1416,22.2,27,100,0,NA,0.7,4,14,1e-05,136,1.6,56,204,0.05,3.9,1e-05,1e-05,1e-05,1e-05,0.3,1e-05,4.54,NA
379,"Carnes e derivados","Carne, bovina, peito, sem gordura, cru",61.5,259,1085,17.6,20.4,59,0,NA,0.9,4,15,1e-05,124,1.3,64,241,0.06,2.6,4,4,4,0.11,0.07,0.03,3.91,NA
380,"Carnes e derivados","Carne, bovina, picanha, com gordura, crua",65.6,213,891,18.8,14.7,60,0,NA,0.9,2,14,1e-05,165,1.7,38,232,0.06,3.8,3,3,3,0.13,0.16,1e-05,4.77,NA
381,"Carnes e derivados","Carne, bovina, picanha, com gordura, grelhada",53.4,289,1208,26.4,19.5,92,0,NA,1.1,4,24,1e-05,246,3.2,60,355,0.14,5.5,1e-05,1e-05,1e-05,0.03,0.06,0.13,1.6,NA
382,"Carnes e derivados","Carne, bovina, picanha, sem gordura, crua",72.4,134,559,21.3,4.7,75,0,NA,1,3,20,1e-05,183,2.1,61,322,0.08,4.2,1e-05,1e-05,1e-05,1e-05,0.05,1e-05,1.89,NA
383,"Carnes e derivados","Carne, bovina, picanha, sem gordura, grelhada",54.6,238,998,31.9,11.3,100,0,NA,1.2,4,25,0.02,282,3.6,61,377,0.17,6.7,1e-05,1e-05,1e-05,1e-05,0.08,0.03,1.82,NA
384,"Carnes e derivados","Carne, bovina, seca, cozida",47.2,313,1309,26.9,21.9,100,0,NA,4.7,13,12,0.02,82,1.9,1943,86,0.03,7.7,1e-05,1e-05,1e-05,1e-05,0.06,1e-05,2.32,NA
385,"Carnes e derivados","Carne, bovina, seca, crua",39.2,313,1309,19.7,25.4,92,0,NA,15.3,14,12,0.01,100,1.3,4440,190,1e-05,3.7,1e-05,1e-05,1e-05,1e-05,0.07,1e-05,2.83,NA
386,"Carnes e derivados","Coxinha de frango, frita",42.2,283,1184,9.6,11.8,15,34.5,5,1.8,18,17,0.28,93,1.3,532,166,0.09,0.5,1e-05,NA,NA,0.09,1e-05,1e-05,2.6,1e-05
387,"Carnes e derivados","Croquete, de carne, cru",56,246,1028,12,15.6,30,13.9,NA,2.5,15,24,0.34,144,2.5,711,221,0.1,2.7,1e-05,NA,NA,0.11,0.04,1e-05,1.95,1e-05
388,"Carnes e derivados","Croquete, de carne, frito",39.2,347,1451,16.9,22.7,38,18.1,NA,3.1,18,30,0.39,176,2.3,916,313,0.09,3.3,1e-05,NA,NA,0.14,0.04,1e-05,4.77,1e-05
389,"Carnes e derivados","Empada de frango, pré-cozida, assada",28.2,358,1499,6.9,15.6,23,47.5,2.2,1.8,16,18,0.32,78,1.2,525,138,0.07,0.6,1e-05,NA,NA,0.12,1e-05,1e-05,1e-05,NA
390,"Carnes e derivados","Empada, de frango, pré-cozida",32,377,1579,7.3,22.9,23,35.5,2.2,2.2,14,17,0.25,78,0.7,771,156,0.09,0.5,1e-05,NA,NA,0.11,1e-05,0.03,1e-05,NA
391,"Carnes e derivados","Frango, asa, com pele, crua",67.5,213,892,18.1,15.1,113,0,NA,0.7,11,23,0.01,155,0.6,96,211,0.02,1.2,10,10,10,0.11,0.04,1e-05,2.58,NA
392,"Carnes e derivados","Frango, caipira, inteiro, com pele, cozido",59.7,243,1016,23.9,15.6,110,0,NA,0.8,17,18,0.01,162,1.7,56,210,0.08,1.7,16,16,16,0.03,1e-05,1e-05,6.33,NA
393,"Carnes e derivados","Frango, caipira, inteiro, sem pele, cozido",61.4,196,819,29.6,7.7,106,0,NA,1.1,66,23,0.02,210,2.1,53,224,0.15,2.7,6,6,6,0.03,0.03,1e-05,9.2,NA
394,"Carnes e derivados","Frango, coração, cru",69.1,222,927,12.6,18.6,159,0,NA,0.8,6,20,0.05,193,4.1,95,220,0.2,2,9,9,9,0.23,0.35,1e-05,3.39,NA
395,"Carnes e derivados","Frango, coração, grelhado",63.5,207,867,22.4,12.1,280,0.6,NA,1.3,8,20,0.06,276,6.5,128,243,0.3,3.4,1e-05,1e-05,1e-05,0.2,0.19,1e-05,9.7,NA
396,"Carnes e derivados","Frango, coxa, com pele, assada",59.8,215,900,28.5,10.4,145,0.1,NA,1.3,8,14,1e-05,251,1.2,95,318,0.05,2.6,6,6,6,0.05,0.05,1e-05,10.4,NA
397,"Carnes e derivados","Frango, coxa, com pele, crua",72.9,161,676,17.1,9.8,97,0,NA,0.8,8,26,0.02,185,0.7,95,275,0.03,2,10,10,10,0.16,0.05,1e-05,2.04,NA
398,"Carnes e derivados","Frango, coxa, sem pele, cozida",66.7,167,701,26.9,5.8,133,0,NA,0.9,12,11,1e-05,187,0.8,64,191,0.03,2.8,1e-05,1e-05,1e-05,0.07,1e-05,1e-05,8.2,NA
399,"Carnes e derivados","Frango, coxa, sem pele, crua",76.4,120,502,17.8,4.9,91,0,NA,0.9,8,27,0.02,196,0.8,98,291,0.03,2.2,12,12,12,0.17,0.05,1e-05,3.53,NA
400,"Carnes e derivados","Frango, fígado, cru",77.8,106,446,17.6,3.5,341,0,NA,1.2,6,28,0.35,344,9.5,82,281,0.26,3.7,3863,3863,3863,0.62,0.56,1e-05,6.36,NA
401,"Carnes e derivados","Frango, filé, à milanesa",54.9,221,924,28.5,7.8,84,7.5,1.1,1.3,9,35,0.06,249,1.1,122,408,0.05,0.8,7,7,7,0.05,0.04,0.52,11.07,NA
402,"Carnes e derivados","Frango, inteiro, com pele, cru",66.5,226,947,16.4,17.3,85,0,NA,0.7,6,24,0.01,174,0.6,63,217,0.04,1.1,7,7,7,0.08,0.03,1e-05,3.28,NA
403,"Carnes e derivados","Frango, inteiro, sem pele, assado",63.2,187,784,28,7.5,111,0,NA,1.2,9,14,1e-05,233,0.6,70,283,0.03,1.6,1e-05,1e-05,1e-05,0.09,1e-05,1e-05,11.2,NA
404,"Carnes e derivados","Frango, inteiro, sem pele, cozido",67.5,170,713,25,7.1,99,0,NA,0.9,8,12,1e-05,194,0.5,51,217,0.04,1.2,1e-05,1e-05,1e-05,0.1,1e-05,1e-05,12.83,NA
405,"Carnes e derivados","Frango, inteiro, sem pele, cru",74.9,129,540,20.6,4.6,78,0,NA,0.9,7,27,0.01,190,0.5,73,238,0.03,1.2,4,4,4,0.12,0.03,1e-05,3.28,NA
406,"Carnes e derivados","Frango, peito, com pele, assado",58.5,212,886,33.4,7.6,109,0,NA,1.5,8,18,0.01,297,0.5,56,380,0.01,1,6,6,6,0.12,1e-05,1e-05,15.8,NA
407,"Carnes e derivados","Frango, peito, com pele, cru",71.9,149,625,20.8,6.7,80,0,NA,0.9,8,28,0.01,213,0.4,62,252,0.05,0.6,4,4,4,0.09,1e-05,1e-05,2.58,NA
408,"Carnes e derivados","Frango, peito, sem pele, cozido",65.6,163,681,31.5,3.2,89,0,NA,1,6,14,1e-05,224,0.3,36,231,0.02,0.9,1e-05,1e-05,1e-05,0.1,1e-05,1e-05,7.6,NA
409,"Carnes e derivados","Frango, peito, sem pele, cru",74.8,119,499,21.5,3,59,0,NA,1,7,31,0.01,222,0.4,56,267,0.03,0.7,2,2,2,0.1,1e-05,1e-05,5.86,NA
410,"Carnes e derivados","Frango, peito, sem pele, grelhado",63.8,159,666,32,2.5,89,0,NA,1.4,5,18,1e-05,295,0.3,50,387,0.02,0.8,1e-05,1e-05,1e-05,0.11,1e-05,1e-05,24.83,NA
411,"Carnes e derivados","Frango, sobrecoxa, com pele, assada",55,260,1086,28.7,15.2,158,0,NA,1.3,11,15,1e-05,252,1.2,96,323,0.06,2.2,8,8,8,0.1,0.05,1e-05,11.2,NA
412,"Carnes e derivados","Frango, sobrecoxa, com pele, crua",63.6,255,1065,15.5,20.9,88,0,NA,0.8,7,22,0.01,154,0.7,68,190,0.05,1.3,7,7,7,0.09,0.06,1e-05,3.4,NA
413,"Carnes e derivados","Frango, sobrecoxa, sem pele, assada",55.6,233,974,29.2,12,145,0,NA,1.5,12,17,1e-05,281,1.2,106,382,0.07,2.2,11,11,11,0.1,0.05,1e-05,10.2,NA
414,"Carnes e derivados","Frango, sobrecoxa, sem pele, crua",72.7,162,677,17.6,9.6,84,0,NA,0.9,6,26,0.02,187,0.9,80,241,0.06,1.7,4,4,4,0.12,0.06,1e-05,4.06,NA
415,"Carnes e derivados","Hambúrguer, bovino, cru",63.6,215,899,13.2,16.2,70,4.2,NA,2.9,34,25,0.36,141,1.9,869,383,0.16,1.7,1e-05,NA,NA,0.06,0.08,0.04,3.53,NA
416,"Carnes e derivados","Hambúrguer, bovino, frito",52.5,258,1081,20,17,49,6.3,NA,4.2,62,60,0.52,324,3,1252,660,0.17,3.2,1e-05,NA,NA,0.13,0.06,1e-05,2.73,NA
417,"Carnes e derivados","Hambúrguer, bovino, grelhado",59.2,210,878,13.2,12.4,59,11.3,NA,3.9,56,48,0.4,263,2.6,1090,538,0.18,3,1e-05,NA,NA,0.18,0.06,1e-05,5.77,NA
418,"Carnes e derivados","Lingüiça, frango, crua",64.8,218,913,14.2,17.4,64,0,NA,3.3,11,19,0.05,182,0.5,1126,280,0.05,0.7,1e-05,NA,NA,0.11,0.05,1e-05,4.6,NA
419,"Carnes e derivados","Lingüiça, frango, frita",59.6,245,1027,18.3,18.5,76,0,NA,3.8,15,29,0.1,262,0.8,1374,364,0.04,1.2,1e-05,NA,NA,0.11,0.05,1e-05,5.67,NA
420,"Carnes e derivados","Lingüiça, frango, grelhada",58.6,244,1019,18.2,18.4,80,0,NA,3.8,14,21,0.1,228,0.7,1351,356,0.09,1,1e-05,NA,NA,0.12,0.04,1e-05,5.97,NA
421,"Carnes e derivados","Lingüiça, porco, crua",62.5,227,951,16.1,17.6,53,0,NA,3.2,6,14,0.01,157,0.4,1176,316,0.04,1.4,1e-05,NA,NA,0.49,0.05,1e-05,2.6,NA
422,"Carnes e derivados","Lingüiça, porco, frita",54.6,280,1170,20.5,21.3,75,0,NA,3.9,8,18,0.01,211,0.9,1432,409,0.06,3.1,1e-05,NA,NA,0.41,0.07,1e-05,5.83,NA
423,"Carnes e derivados","Lingüiça, porco, grelhada",50.5,296,1241,23.2,21.9,82,0,NA,4,8,19,0.01,210,1,1456,427,0.07,3.5,1e-05,NA,NA,0.4,0.07,1e-05,6.6,NA
424,"Carnes e derivados","Mortadela",56.4,269,1125,12,21.6,83,5.8,NA,4.1,67,19,0.11,216,1.5,1212,247,0.08,1,25,NA,NA,0.14,0.06,1e-05,3,NA
425,"Carnes e derivados","Peru, congelado, assado",65.3,163,682,26.2,5.7,91,0,NA,2.2,14,12,0.02,197,0.6,628,175,0.03,1.2,1e-05,1e-05,1e-05,0.06,1e-05,1e-05,6.23,NA
426,"Carnes e derivados","Peru, congelado, cru",78.2,94,392,18.1,1.8,68,0,NA,2.5,10,19,1e-05,217,0.9,711,281,0.36,1.4,1e-05,1e-05,1e-05,0.06,1e-05,1e-05,4.23,NA
427,"Carnes e derivados","Porco, bisteca, crua",67.7,164,687,21.5,8,56,0,NA,1,6,24,1e-05,195,0.5,54,335,0.07,1.4,1e-05,1e-05,1e-05,0.9,1e-05,1e-05,2.65,NA
428,"Carnes e derivados","Porco, bisteca, frita",47.3,311,1302,33.7,18.5,126,0,NA,1.6,69,29,0.01,290,0.8,63,404,0.07,2.2,10,10,10,0.34,1e-05,1e-05,3.25,NA
429,"Carnes e derivados","Porco, bisteca, grelhada",51.8,280,1172,28.9,17.4,82,0,NA,1.2,34,25,1e-05,229,0.9,51,366,0.06,2.3,1e-05,1e-05,1e-05,0.77,0.14,0.03,1.92,NA
430,"Carnes e derivados","Porco, costela, assada",36.9,402,1683,30.2,30.3,113,0,NA,1.4,17,14,1e-05,201,1,63,246,0.07,3.1,1e-05,1e-05,1e-05,0.71,0.05,1e-05,10.63,NA
431,"Carnes e derivados","Porco, costela, crua",61.2,256,1069,18,19.8,69,0,NA,0.9,15,18,1e-05,159,0.9,88,248,0.05,2.3,1e-05,1e-05,1e-05,0.62,1e-05,1e-05,8.27,NA
432,"Carnes e derivados","Porco, lombo, assado",56.6,210,880,35.7,6.4,103,0,NA,1.4,20,18,1e-05,238,0.5,39,311,0.03,1.8,1e-05,1e-05,1e-05,0.75,0.07,0.11,12.43,NA
433,"Carnes e derivados","Porco, lombo, cru",67.7,176,735,22.6,8.8,55,0,NA,1,4,24,1e-05,195,0.5,53,334,0.01,0.9,1e-05,1e-05,1e-05,0.95,1e-05,1e-05,13.83,NA
434,"Carnes e derivados","Porco, orelha, salgada, crua",59.7,258,1082,18.5,19.9,83,0,NA,2,5,2,0.01,31,1.4,616,228,0.23,0.6,1e-05,1e-05,1e-05,0.07,0.03,1e-05,1e-05,NA
435,"Carnes e derivados","Porco, pernil, assado",49.3,262,1097,32.1,13.9,110,0,NA,1.4,18,27,0.01,247,1.3,62,395,0.09,3.3,1e-05,1e-05,1e-05,0.77,0.09,1e-05,6.57,NA
436,"Carnes e derivados","Porco, pernil, cru",67.1,186,778,20.1,11.1,59,0,NA,1,13,23,1e-05,192,0.9,102,256,0.16,1.7,1e-05,1e-05,1e-05,1.06,0.06,1e-05,5.67,NA
437,"Carnes e derivados","Porco, rabo, salgado, cru",43.8,377,1579,15.6,34.5,89,0,NA,3.5,22,4,0.01,42,0.6,1158,24,0.05,1.4,1e-05,1e-05,1e-05,0.2,0.06,1e-05,1.43,NA
438,"Carnes e derivados","Presunto, com capa de gordura",73.9,128,535,14.4,6.8,40,1.4,NA,3.5,12,17,0.04,274,0.7,1021,295,0.04,1.3,1e-05,NA,NA,0.62,0.03,1e-05,3.78,NA
439,"Carnes e derivados","Presunto, sem capa de gordura",77.2,94,392,14.3,2.7,36,2.1,NA,3.7,23,18,0.04,244,0.8,1039,307,0.04,1.5,1e-05,NA,NA,0.5,0.03,1e-05,4,NA
440,"Carnes e derivados","Quibe, assado",69,136,570,14.6,2.7,34,12.9,1.9,0.9,16,36,0.76,174,2.2,40,288,0.51,4.1,1e-05,NA,NA,0.04,0.04,1e-05,1.81,1e-05
441,"Carnes e derivados","Quibe, cru",74.5,109,458,12.4,1.7,27,10.8,1.6,0.7,12,26,0.39,126,1.7,39,242,0.13,2.8,1e-05,NA,NA,0.09,0.03,1e-05,1.2,1e-05
442,"Carnes e derivados","Quibe, frito",54,254,1062,14.9,15.8,38,12.3,NA,3,22,39,0.72,166,2,836,322,0.16,2.8,1e-05,NA,NA,0.12,0.1,1e-05,1.5,1e-05
443,"Carnes e derivados","Salame",34.7,398,1665,25.8,30.6,85,2.9,NA,5.9,87,30,0.03,354,1.3,1574,548,0.05,3.2,1e-05,NA,NA,0.88,0.23,1e-05,12.49,NA
444,"Carnes e derivados","Toucinho, cru",27.6,593,2479,11.5,60.3,73,0,NA,0.3,2,4,1e-05,35,0.4,50,58,0.11,0.2,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5.1,NA
445,"Carnes e derivados","Toucinho, frito",6.3,697,2914,27.3,64.3,89,0,NA,0.7,9,9,0.01,95,0.9,125,171,0.1,0.8,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5.03,NA
446,"Leite e derivados","Bebida láctea, pêssego",87.7,55,231,2.1,1.9,5,7.6,0.3,0.7,89,9,1e-05,63,1e-05,46,62,0.02,0.2,1e-05,NA,NA,0.03,0.14,1e-05,0.33,2.1
447,"Leite e derivados","Creme de Leite",70.9,221,927,1.5,22.5,66,4.5,NA,0.6,83,8,0.01,118,0.3,52,119,0.02,0.3,128,NA,NA,1e-05,0.1,1e-05,0,1e-05
448,"Leite e derivados","Iogurte, natural",90,51,215,4.1,3,14,1.9,NA,0.9,143,11,1e-05,119,1e-05,52,71,0.02,0.4,23,NA,NA,0.04,0.22,1e-05,1e-05,0.9
449,"Leite e derivados","Iogurte, natural, desnatado",89.2,41,174,3.8,0.3,3,5.8,NA,0.9,157,12,1e-05,110,1e-05,60,182,1e-05,0.5,NA,NA,NA,1e-05,0.22,1e-05,1e-05,0.3
450,"Leite e derivados","Iogurte, sabor abacaxi",NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
451,"Leite e derivados","Iogurte, sabor morango",84.6,70,291,2.7,2.3,7,9.7,0.2,0.6,101,8,1e-05,73,1e-05,38,52,0.02,0.3,27,NA,NA,0.03,0.12,0.02,1e-05,1e-05
452,"Leite e derivados","Iogurte, sabor pêssego",85.1,68,284,2.5,2.3,8,9.4,0.7,0.6,95,8,1e-05,66,0.1,37,52,0.02,0.3,21,NA,NA,0.02,0.1,1e-05,0.38,1e-05
453,"Leite e derivados","Leite, condensado",27,313,1308,7.7,6.7,28,57,NA,1.6,246,22,1e-05,187,0.1,94,329,0.03,0.9,53,NA,NA,0.06,0.33,0.57,1e-05,2.1
454,"Leite e derivados","Leite, de cabra",87.1,66,278,3.1,3.8,14,5.2,NA,0.9,112,10,1e-05,113,0.1,74,140,0.04,0.4,35,NA,NA,1e-05,0.14,1e-05,1e-05,1e-05
455,"Leite e derivados","Leite, de vaca, achocolatado",80.9,83,347,2.1,2.2,6,14.2,0.6,0.7,70,13,0.05,71,0.5,72,155,0.04,0.3,39,NA,NA,0.07,0.29,0.14,1.23,3.3
456,"Leite e derivados","Leite, de vaca, desnatado, pó",3.1,362,1513,34.7,0.9,25,53,NA,8.2,1363,109,1e-05,1673,0.9,432,1556,0.16,3.8,299,NA,NA,0.32,1.2,1e-05,0.81,NA
457,"Leite e derivados","Leite, de vaca, desnatado, UHT",NA,NA,NA,NA,NA,4,NA,NA,0.8,134,10,1e-05,85,1e-05,51,140,0.02,0.4,1e-05,NA,NA,0.04,0.26,1e-05,1.49,1e-05
458,"Leite e derivados","Leite, de vaca, integral",NA,NA,NA,NA,NA,10,NA,NA,0.8,123,10,1e-05,82,1e-05,64,133,0.02,0.4,21,NA,NA,0.04,0.24,1e-05,1.52,1e-05
459,"Leite e derivados","Leite, de vaca, integral, pó",2.7,497,2078,25.4,26.9,85,39.2,NA,5.8,890,77,1e-05,1242,0.5,323,1132,0.11,2.7,361,NA,NA,0.24,1.03,1e-05,1e-05,NA
460,"Leite e derivados","Leite, fermentado",81.9,70,291,1.9,0.1,2,15.7,NA,0.5,72,6,0.02,63,1e-05,33,94,0.01,0.3,1e-05,NA,NA,0.08,0.11,1e-05,1e-05,0.5
461,"Leite e derivados","Queijo, minas, frescal",56.1,264,1106,17.4,20.2,62,3.2,NA,3,579,7,0.02,123,0.9,31,105,1e-05,0.3,161,NA,NA,1e-05,0.25,1e-05,1e-05,1e-05
462,"Leite e derivados","Queijo, minas, meia cura",47.1,321,1342,21.2,24.6,76,3.6,NA,3.5,696,27,0.02,403,0.2,501,120,0.07,2.7,111,NA,NA,0.03,0.32,1e-05,1e-05,NA
463,"Leite e derivados","Queijo, mozarela",45.3,330,1380,22.6,25.2,80,3,NA,3.8,875,24,0.03,470,0.3,581,62,0.08,3.5,109,NA,NA,1e-05,0.2,1e-05,1e-05,NA
464,"Leite e derivados","Queijo, parmesão",21.2,453,1895,35.6,33.5,106,1.7,NA,8,992,33,0.05,745,0.5,1844,96,0.17,4.4,66,NA,NA,1e-05,0.44,0.23,1e-05,1e-05
465,"Leite e derivados","Queijo, pasteurizado",54.4,303,1268,9.4,27.4,82,5.7,NA,3.1,323,16,0.01,578,0.3,780,194,0.05,1.3,57,NA,NA,1e-05,0.2,1e-05,1e-05,1e-05
466,"Leite e derivados","Queijo, petit suisse, morango",72.2,121,507,5.8,2.8,12,18.5,NA,0.7,731,27,0.02,448,0.1,412,121,0.01,2.7,273,NA,NA,0.22,0.27,0.21,2.68,1e-05
467,"Leite e derivados","Queijo, prato",42.4,360,1506,22.7,29.1,91,1.9,NA,3.9,940,28,0.03,461,0.3,580,73,0.1,3.5,123,NA,NA,1e-05,0.22,1e-05,1e-05,NA
468,"Leite e derivados","Queijo, requeijão, cremoso",62.5,257,1074,9.6,23.4,74,2.4,NA,2,259,12,0.02,448,0.1,558,93,0.05,1.3,195,NA,NA,1e-05,0.19,1e-05,1e-05,1e-05
469,"Leite e derivados","Queijo, ricota",73.6,140,585,12.6,8.1,49,3.8,NA,1.9,253,12,1e-05,162,0.1,283,112,1e-05,0.5,53,NA,NA,1e-05,0.15,1e-05,1e-05,1e-05
470,"Bebidas (alcoólicas e não alcoólicas)","Bebida isotônica, sabores variados",93.5,26,107,0,0,NA,6.4,NA,0.1,1,1e-05,1e-05,9,0.7,44,13,1e-05,1e-05,NA,NA,NA,NA,NA,NA,NA,NA
471,"Bebidas (alcoólicas e não alcoólicas)","Café, infusão 10%",97.4,9,38,0.7,0.1,NA,1.5,NA,0.4,3,10,0.04,9,1e-05,1,156,0.01,1e-05,NA,NA,NA,NA,NA,NA,NA,NA
472,"Bebidas (alcoólicas e não alcoólicas)","Cana, aguardente 1",NA,216,902,NA,NA,NA,NA,NA,NA,1e-05,1e-05,1e-05,1e-05,1e-05,3,1e-05,0.06,1e-05,NA,NA,NA,1e-05,1e-05,1e-05,1e-05,NA
473,"Bebidas (alcoólicas e não alcoólicas)","Cana, caldo de",81.7,65,273,1e-05,1e-05,NA,18.2,0.1,0.1,9,12,0.21,5,0.8,1e-05,18,0.01,0.1,NA,NA,NA,1e-05,1e-05,0.03,1e-05,2.8
474,"Bebidas (alcoólicas e não alcoólicas)","Cerveja, pilsen 2",92.4,41,170,0.6,1e-05,NA,3.3,NA,0.1,5,7,0.01,19,1e-05,4,29,1e-05,1e-05,NA,NA,NA,1e-05,1e-05,0.14,2.92,1e-05
475,"Bebidas (alcoólicas e não alcoólicas)","Chá, erva-doce, infusão 5%",99.6,1,6,0,0,NA,0.4,NA,0,2,1,0.01,1,1e-05,1,10,0.01,1e-05,NA,NA,NA,1.23,0.23,NA,NA,NA
476,"Bebidas (alcoólicas e não alcoólicas)","Chá, mate, infusão 5%",99.3,3,11,0,0.1,NA,0.6,NA,0,1,2,0.27,1e-05,1e-05,1e-05,5,1e-05,1e-05,NA,NA,NA,0.89,1e-05,NA,NA,NA
477,"Bebidas (alcoólicas e não alcoólicas)","Chá, preto, infusão 5%",99.4,2,9,0,0,NA,0.6,NA,0,0,1,0.09,2,1e-05,1e-05,13,1e-05,1e-05,NA,NA,NA,3.11,0.48,NA,NA,NA
478,"Bebidas (alcoólicas e não alcoólicas)","Coco, água de",94.3,22,90,0,0,NA,5.3,0.1,0.5,19,5,0.25,4,1e-05,2,162,1e-05,1e-05,NA,NA,NA,0.01,1e-05,1e-05,1e-05,2.4
479,"Bebidas (alcoólicas e não alcoólicas)","Refrigerante, tipo água tônica",92,31,129,0,0,NA,8,NA,0,1,1e-05,1e-05,0,1e-05,8,2,1e-05,1e-05,NA,NA,NA,NA,NA,NA,NA,NA
480,"Bebidas (alcoólicas e não alcoólicas)","Refrigerante, tipo cola",91.3,34,140,0,0,NA,8.7,NA,0.1,1,1e-05,1e-05,17,1e-05,7,1,1e-05,1e-05,NA,NA,NA,NA,NA,NA,NA,NA
481,"Bebidas (alcoólicas e não alcoólicas)","Refrigerante, tipo guaraná",90,39,162,0,0,NA,10,NA,0,1,1e-05,1e-05,1e-05,1e-05,9,1,1e-05,1e-05,NA,NA,NA,NA,NA,NA,NA,NA
